pitcher,pitcher_name,p_throws,pitch_type,height,shoulder_pos,release_pos_x,release_pos_z,arm_angle
663776,Patrick Sandoval,L,CU,75.0,52.5,10.979047619047618,72.99428571428572,28.14192421649208
663776,Patrick Sandoval,L,FF,75.0,52.5,11.16736842105263,73.13421052631578,28.310514029680043
663776,Patrick Sandoval,L,SI,75.0,52.5,10.972610837438424,73.0776354679803,27.943731602390248
663776,Patrick Sandoval,L,SL,75.0,52.5,11.866153846153846,73.11807692307693,29.840988037078134
663776,Patrick Sandoval,L,ST,75.0,52.5,11.09311475409836,73.37704918032787,27.94511858385515
663855,Jordan Hicks,R,FF,74.0,51.8,-18.156610169491525,71.45898305084745,42.716666869694755
663855,Jordan Hicks,R,FS,74.0,51.8,-22.453584905660378,67.88332075471699,54.39867935044677
663855,Jordan Hicks,R,SI,74.0,51.8,-20.26779661016949,68.88630508474576,49.8481714567348
663855,Jordan Hicks,R,ST,74.0,51.8,-23.34258620689655,66.34241379310345,58.06818024356785
663878,Nate Pearson,R,CU,78.0,54.599999999999994,-22.200000000000003,67.7131914893617,59.43848996042414
663878,Nate Pearson,R,FF,78.0,54.6,-24.451291866028708,65.32593301435406,66.30823919312122
663878,Nate Pearson,R,SL,78.0,54.599999999999994,-25.475510204081633,64.67020408163266,68.45286585268111
663893,Brendon Little,L,FC,74.0,51.79999999999999,19.91,72.96,43.24155263973598
663893,Brendon Little,L,KC,74.0,51.8,16.628571428571426,73.92,36.906698024777114
663893,Brendon Little,L,SI,74.0,51.79999999999999,19.607547169811323,71.66264150943395,44.64245536707234
663897,Luke Williams,R,EP,73.0,51.099999999999994,-21.648,83.664,33.617334051414005
663897,Luke Williams,R,FA,73.0,51.099999999999994,-24.839999999999996,82.80000000000001,38.08211501494732
663903,Brady Singer,R,CH,77.0,53.9,-17.90742857142857,63.696000000000005,61.2612182215807
663903,Brady Singer,R,FF,77.0,53.9,-16.78808510638298,63.923404255319156,59.076648161645565
663903,Brady Singer,R,SI,77.0,53.9,-17.2055079006772,62.55331828442438,63.24735648388775
663903,Brady Singer,R,SL,77.0,53.9,-17.89643153526971,64.23485477178423,59.95740497110435
663947,Tyler Holton,L,CH,74.0,51.8,19.8,68.92266666666667,49.13479080995709
663947,Tyler Holton,L,CU,74.0,51.8,16.32,73.5,36.929463303251175
663947,Tyler Holton,L,FC,74.0,51.8,17.26766355140187,71.73869158878504,40.86837495353361
663947,Tyler Holton,L,FF,74.0,51.8,17.690526315789473,71.41473684210526,41.96652449189923
663947,Tyler Holton,L,SI,74.0,51.8,19.901443298969074,69.92659793814433,47.61140197903757
663947,Tyler Holton,L,SL,74.0,51.8,21.264347826086958,69.6904347826087,49.86371119895258
663978,Chris Paddack,R,CH,77.0,53.9,-33.79013513513513,71.78837837837838,62.06932915584216
663978,Chris Paddack,R,CU,77.0,53.9,-31.085454545454542,74.68909090909091,56.20253676977939
663978,Chris Paddack,R,FF,77.0,53.9,-28.193513513513512,75.01810810810811,53.11672773698152
663978,Chris Paddack,R,SL,77.0,53.9,-30.697688442211057,74.14070351758794,56.56852260849173
663989,Nick Vespi,L,CU,75.0,52.5,25.08,76.32000000000001,46.44420264031502
663989,Nick Vespi,L,FC,75.0,52.5,25.720000000000002,76.312,47.13626414002497
663989,Nick Vespi,L,SL,75.0,52.5,29.43,74.43,53.26227827126303
663992,Richard Lovelady,L,FF,72.0,50.4,29.861818181818183,63.31636363636364,66.58116553650353
663992,Richard Lovelady,L,SI,72.0,50.4,29.76,63.04835820895522,66.95569683642033
663992,Richard Lovelady,L,SL,72.0,50.4,30.61263157894737,62.153684210526315,68.99749903317243
664076,Garrett Cleavinger,L,FC,73.0,51.099999999999994,12.74019801980198,62.6590099009901,47.64699959283589
664076,Garrett Cleavinger,L,FF,73.0,51.09999999999999,11.921025641025642,64.33641025641025,41.59578448444247
664076,Garrett Cleavinger,L,SI,73.0,51.099999999999994,12.896326530612244,63.85224489795918,45.020719938711714
664076,Garrett Cleavinger,L,SL,73.0,51.1,13.49319587628866,61.99917525773196,50.80894881226894
664076,Garrett Cleavinger,L,ST,73.0,51.099999999999994,13.359230769230768,61.323461538461544,52.27051078700906
664079,Tyler Jay,L,FC,73.0,51.099999999999994,30.645,68.0025,61.11307800487802
664079,Tyler Jay,L,FF,73.0,51.099999999999994,31.16,68.02,61.507501559710704
664079,Tyler Jay,L,SI,73.0,51.099999999999994,31.186666666666667,67.00666666666666,62.982267265069794
664079,Tyler Jay,L,SL,73.0,51.099999999999994,32.76,64.19999999999999,68.20462164831152
664079,Tyler Jay,L,ST,73.0,51.099999999999994,30.447272727272722,67.18909090909091,62.14863118486342
664126,Pete Fairbanks,R,CH,78.0,54.599999999999994,-6.66,81.36,13.95997335030474
664126,Pete Fairbanks,R,FF,78.0,54.599999999999994,-4.695460122699386,82.00049079754601,9.713683953232803
664126,Pete Fairbanks,R,SL,78.0,54.599999999999994,-2.7221476510067117,84.24,5.738615009400009
664129,Geoff Hartlieb,R,FC,77.0,53.9,-34.656,71.976,62.456954087243034
664129,Geoff Hartlieb,R,FF,77.0,53.9,-34.8,71.57142857142857,63.04585219664682
664129,Geoff Hartlieb,R,SI,77.0,53.9,-37.96363636363637,68.83636363636364,68.51909230863535
664129,Geoff Hartlieb,R,SL,77.0,53.9,-34.56,72.24,62.04639095425626
664192,Joey Lucchesi,L,CU,77.0,53.9,30.509999999999998,76.692,53.23419018527811
664192,Joey Lucchesi,L,FC,77.0,53.9,28.935,72.045,57.70512362765827
664192,Joey Lucchesi,L,SI,77.0,53.9,31.802999999999997,69.29400000000001,64.09914777678512
664208,Phil Maton,R,CU,74.0,51.8,-14.309291338582677,64.74425196850395,47.77579050439982
664208,Phil Maton,R,FC,74.0,51.8,-13.577379310344828,64.45324137931034,46.94322300008365
664208,Phil Maton,R,SI,74.0,51.79999999999999,-14.6,64.76,48.32344043244493
664208,Phil Maton,R,SL,74.0,51.8,-13.96,64.50857142857143,47.60651642419606
664208,Phil Maton,R,ST,74.0,51.8,-16.92805970149254,63.66268656716417,54.85550810895468
664285,Framber Valdez,L,CH,71.0,49.699999999999996,9.572054794520549,71.3309589041096,23.874846765515272
664285,Framber Valdez,L,CU,71.0,49.699999999999996,9.626218487394958,71.8870588235294,23.345669344016574
664285,Framber Valdez,L,FF,71.0,49.699999999999996,7.5685714285714285,71.36999999999999,19.274896291959518
664285,Framber Valdez,L,SI,71.0,49.699999999999996,8.802445414847162,71.86585152838427,21.818588159178695
664285,Framber Valdez,L,SL,71.0,49.699999999999996,10.286666666666667,70.78666666666668,25.684248050646573
664299,Cristian Javier,R,CH,73.0,51.099999999999994,-17.589803921568627,69.92941176470589,43.07597266756295
664299,Cristian Javier,R,FF,73.0,51.09999999999999,-16.954285714285714,69.41089285714285,42.831468976278245
664299,Cristian Javier,R,KC,73.0,51.099999999999994,-17.3904,71.5104,40.43311757756553
664299,Cristian Javier,R,SL,73.0,51.099999999999994,-18.45714285714286,69.325,45.373570518415285
664350,Sixto Sánchez,R,CH,72.0,50.4,-31.58523076923077,66.82892307692308,62.454316002659425
664350,Sixto Sánchez,R,FC,72.0,50.4,-30.360568720379145,68.68777251184835,58.874978068745214
664350,Sixto Sánchez,R,FF,72.0,50.4,-28.588540540540542,71.78464864864864,53.07409414035761
664350,Sixto Sánchez,R,SI,72.0,50.4,-31.596,69.58,58.72906318496987
664747,Alexis Díaz,R,FF,74.0,51.8,-25.559051383399208,53.1206324110672,87.0170595812741
664747,Alexis Díaz,R,SL,74.0,51.8,-25.871176470588235,54.42176470588236,84.19032668404985
664776,Jake Cousins,R,FF,76.0,53.199999999999996,-38.64,67.44,69.76964351622352
664776,Jake Cousins,R,SI,76.0,53.199999999999996,-37.655,67.59,69.08472969898612
664776,Jake Cousins,R,SL,76.0,53.199999999999996,-38.979574468085104,67.16425531914894,70.2816827687137
664849,Danny Young,L,FC,75.0,52.5,39.45,64.23,73.43669215019636
664849,Danny Young,L,SI,75.0,52.5,40.69565217391305,62.36869565217391,76.32945805673889
664849,Danny Young,L,ST,75.0,52.5,45.27044776119403,59.07044776119403,81.72956351223898
664854,Ryan Helsley,R,CU,74.0,51.8,-5.182222222222221,72.48,14.13568506804835
664854,Ryan Helsley,R,FF,74.0,51.8,-5.234285714285714,72.64928571428571,14.379828610593936
664854,Ryan Helsley,R,SL,74.0,51.800000000000004,-6.258305084745763,72.56338983050847,16.9070715850118
664875,Justin Lawrence,R,SI,75.0,52.5,-35.25504424778761,52.32371681415929,90.26025625876171
664875,Justin Lawrence,R,ST,75.0,52.5,-36.63127272727272,52.419636363636364,90.09207647117937
664901,Danny Mendick,R,EP,70.0,49.0,-11.348571428571429,82.78285714285714,18.577127495848508
664901,Danny Mendick,R,FA,70.0,49.0,-23.939999999999998,81.93,35.94522414361515
665152,Dean Kremer,R,CU,74.0,51.8,-22.429894736842108,73.61936842105263,45.74936076270454
665152,Dean Kremer,R,FC,74.0,51.8,-22.84576271186441,73.04186440677967,47.05143432256749
665152,Dean Kremer,R,FF,74.0,51.8,-24.7656338028169,71.51535211267606,51.44531924717315
665152,Dean Kremer,R,FS,74.0,51.8,-25.43423076923077,70.83,53.18737010727146
665152,Dean Kremer,R,SI,74.0,51.79999999999999,-24.878490566037733,69.62490566037735,54.323278798842395
665620,Deivi García,R,CH,69.0,48.3,-21.22285714285714,65.44457142857142,51.01125418211401
665620,Deivi García,R,CU,69.0,48.3,-16.826666666666668,71.45333333333333,35.94810651187088
665620,Deivi García,R,FF,69.0,48.3,-23.207848101265824,63.35164556962025,56.98040811614743
665620,Deivi García,R,ST,69.0,48.3,-24.62666666666667,65.88266666666667,54.42270479164199
665622,Luis Medina,R,CH,73.0,51.099999999999994,-27.419999999999998,75.84,47.82355434174592
665622,Luis Medina,R,CU,73.0,51.099999999999994,-23.44965517241379,76.54758620689655,42.485832093555324
665622,Luis Medina,R,FF,73.0,51.099999999999994,-26.19085714285714,76.22228571428572,46.052651251412534
665622,Luis Medina,R,SI,73.0,51.099999999999994,-24.603428571428573,76.88228571428571,43.55279727656708
665622,Luis Medina,R,SL,73.0,51.099999999999994,-28.641290322580645,73.35870967741936,52.08517740998824
665625,Elvis Peguero,R,CU,77.0,53.9,-36.599999999999994,70.67999999999999,65.36996708319201
665625,Elvis Peguero,R,SI,77.0,53.9,-32.085829145728646,66.78452261306533,68.04686989219881
665625,Elvis Peguero,R,SL,77.0,53.9,-34.12918918918919,66.53189189189189,69.59551910748404
665795,Edward Cabrera,R,CH,77.0,53.89999999999999,-17.00392156862745,73.09254901960784,41.400434538885136
665795,Edward Cabrera,R,CU,77.0,53.9,-16.394716981132074,74.31849056603774,38.68008483826867
665795,Edward Cabrera,R,FF,77.0,53.9,-17.652,71.84133333333334,44.39774494184003
